input,label
Had a protein bar and some water for snack.,store_log
Ran 3 miles around the park after work.,store_log
Went for a 5k run before bed.,store_log
What are some effective ways to maintain bone health and prevent conditions like osteoporosis?,ask_advice
Had lentil soup with a whole wheat roll for lunch.,store_log
Can you recommend stretches for after a long day of sitting?,ask_advice
"I am a 33-year-old female with a height of 180 cm and a weight of 80 kg. My primary goal is health maintenance, and I aim to reach a target weight of 56 kg. I am a beginner at the gym. ",user_profile
"I am a 48-year-old male with a height of 200 cm and a weight of 81 kg. My primary goal is muscle gain, and I aim to reach a target weight of 86 kg. I am a advanced at the gym. ",user_profile
I often feel overwhelmed by nutrition advice. What's the basic principle?,ask_advice
"I am a 54-year-old female with a height of 151 cm and a weight of 62 kg. My primary goal is weight loss, and I aim to reach a target weight of 57 kg. I am a beginner at the gym. ",user_profile
"I am a 21-year-old female with a height of 187 cm and a weight of 90 kg. My primary goal is endurance, and I aim to reach a target weight of 82 kg. I am a advanced at the gym. ",user_profile
"I am a 38-year-old male with a height of 186 cm and a weight of 97 kg. My primary goal is endurance, and I aim to reach a target weight of 72 kg. I am a advanced at the gym. ",user_profile
Had baked tofu with brown rice and stir-fried vegetables for dinner.,store_log
"I am a 48-year-old female with a height of 169 cm and a weight of 71 kg. My primary goal is muscle gain, and I aim to reach a target weight of 76 kg. I am a beginner at the gym. ",user_profile
Walked the dog for 40 minutes in the afternoon.,store_log
What are some strategies for maintaining a healthy relationship with food and avoiding unhealthy eating habits?,ask_advice
"I am a 23-year-old male with a height of 158 cm and a weight of 54 kg. My primary goal is muscle gain, and I aim to reach a target weight of 59 kg. I am a beginner at the gym. ",user_profile
"I am a 20-year-old female with a height of 199 cm and a weight of 76 kg. My primary goal is endurance, and I aim to reach a target weight of 69 kg. I am a intermediate at the gym. ",user_profile
Had spaghetti with marinara sauce and a side salad for dinner.,store_log
Went for a 5k run right after waking up.,store_log
"I am a 41-year-old female with a height of 157 cm and a weight of 83 kg. My primary goal is health maintenance, and I aim to reach a target weight of 87 kg. I am a intermediate at the gym. ",user_profile
"I am a 41-year-old female with a height of 166 cm and a weight of 50 kg. My primary goal is health maintenance, and I aim to reach a target weight of 72 kg. I am a beginner at the gym. ",user_profile
Walked the dog for 40 minutes this morning.,store_log
Tried a new 30-minute core workout around noon.,store_log
Had grilled steak with mashed potatoes and steamed carrots for dinner.,store_log
"I am a 48-year-old male with a height of 200 cm and a weight of 81 kg. My primary goal is muscle gain, and I aim to reach a target weight of 86 kg. I am a advanced at the gym. ",user_profile
Did a 45-minute strength training session before bed.,store_log
Did a bodyweight circuit at home before bed.,store_log
Walked the dog for 40 minutes late evening.,store_log
What is a balanced diet and how can I ensure I'm getting the right nutrients in my meals?,ask_advice
"I am a 48-year-old female with a height of 169 cm and a weight of 71 kg. My primary goal is muscle gain, and I aim to reach a target weight of 76 kg. I am a beginner at the gym. ",user_profile
"I am a 26-year-old male with a height of 160 cm and a weight of 72 kg. My primary goal is endurance, and I aim to reach a target weight of 47 kg. I am a beginner at the gym. ",user_profile
Did a 20-minute hiit workout this morning.,store_log
"I am a 59-year-old male with a height of 155 cm and a weight of 86 kg. My primary goal is weight loss, and I aim to reach a target weight of 81 kg. I am a advanced at the gym. ",user_profile
Had chili with cornbread and a small salad for dinner.,store_log
Went for a 5k run after work.,store_log
What are some effective strategies for managing weight and achieving a healthy body composition?,ask_advice
Had a turkey sandwich with apple slices for lunch.,store_log
"I am a 30-year-old female with a height of 153 cm and a weight of 79 kg. My primary goal is endurance, and I aim to reach a target weight of 77 kg. I am a beginner at the gym. ",user_profile
How do I prevent overtraining and burnout?,ask_advice
"I am a 28-year-old male with a height of 188 cm and a weight of 64 kg. My primary goal is health maintenance, and I aim to reach a target weight of 74 kg. I am a advanced at the gym. ",user_profile
"I am a 55-year-old female with a height of 197 cm and a weight of 93 kg. My primary goal is endurance, and I aim to reach a target weight of 53 kg. I am a advanced at the gym. ",user_profile
Had avocado toast with a poached egg for breakfast.,store_log
"I am a 42-year-old female with a height of 155 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a beginner at the gym. ",user_profile
"I am a 59-year-old male with a height of 155 cm and a weight of 86 kg. My primary goal is weight loss, and I aim to reach a target weight of 81 kg. I am a advanced at the gym. ",user_profile
Had mixed nuts and dried cranberries for snack.,store_log
Had grilled steak with mashed potatoes and steamed carrots for dinner.,store_log
"I am a 21-year-old female with a height of 177 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 95 kg. I am a intermediate at the gym. ",user_profile
"What are the potential benefits of practicing mindfulness or meditation, and how can I incorporate them into my daily life?",ask_advice
"I am a 49-year-old male with a height of 196 cm and a weight of 52 kg. My primary goal is muscle gain, and I aim to reach a target weight of 57 kg. I am a beginner at the gym. ",user_profile
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
Swam 20 laps at the gym this morning.,store_log
Had carrot sticks with hummus for snack.,store_log
"I am a 56-year-old male with a height of 155 cm and a weight of 94 kg. My primary goal is endurance, and I aim to reach a target weight of 47 kg. I am a beginner at the gym. ",user_profile
Had carrot sticks with hummus for snack.,store_log
Had carrot sticks with hummus for snack.,store_log
"Had a green smoothie with spinach, banana, and protein powder for breakfast.",store_log
"I am a 23-year-old male with a height of 158 cm and a weight of 54 kg. My primary goal is muscle gain, and I aim to reach a target weight of 59 kg. I am a beginner at the gym. ",user_profile
Swam 20 laps at the gym before breakfast.,store_log
Swam 20 laps at the gym this morning.,store_log
Swam 20 laps at the gym late evening.,store_log
Had sushi and a miso soup for lunch.,store_log
"I am a 20-year-old female with a height of 161 cm and a weight of 61 kg. My primary goal is muscle gain, and I aim to reach a target weight of 66 kg. I am a beginner at the gym. ",user_profile
Had a banana and a handful of almonds for snack.,store_log
Had lentil soup with a whole wheat roll for lunch.,store_log
Had a chicken wrap and a side of fruit for lunch.,store_log
"I am a 19-year-old male with a height of 167 cm and a weight of 68 kg. My primary goal is weight loss, and I aim to reach a target weight of 63 kg. I am a intermediate at the gym. ",user_profile
"I am a 35-year-old male with a height of 182 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 54 kg. I am a advanced at the gym. ",user_profile
Took a 30-minute yoga class in the afternoon.,store_log
"I am a 49-year-old female with a height of 196 cm and a weight of 72 kg. My primary goal is health maintenance, and I aim to reach a target weight of 55 kg. I am a advanced at the gym. ",user_profile
"I am a 51-year-old female with a height of 193 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a intermediate at the gym. ",user_profile
"I am a 21-year-old female with a height of 187 cm and a weight of 90 kg. My primary goal is endurance, and I aim to reach a target weight of 82 kg. I am a advanced at the gym. ",user_profile
How can I establish and maintain a regular sleep routine to ensure sufficient rest and rejuvenation?,ask_advice
Had overnight oats with blueberries and chia seeds for breakfast.,store_log
Had vegetable curry with basmati rice for dinner.,store_log
Cycled 12 miles after work right after waking up.,store_log
"I am a 34-year-old female with a height of 158 cm and a weight of 92 kg. My primary goal is muscle gain, and I aim to reach a target weight of 97 kg. I am a beginner at the gym. ",user_profile
"I am a 58-year-old female with a height of 185 cm and a weight of 56 kg. My primary goal is health maintenance, and I aim to reach a target weight of 66 kg. I am a advanced at the gym. ",user_profile
"I am a 22-year-old female with a height of 193 cm and a weight of 89 kg. My primary goal is weight loss, and I aim to reach a target weight of 84 kg. I am a intermediate at the gym. ",user_profile
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
"I am a 24-year-old female with a height of 171 cm and a weight of 72 kg. My primary goal is endurance, and I aim to reach a target weight of 81 kg. I am a beginner at the gym. ",user_profile
Walked the dog for 40 minutes around noon.,store_log
Ran 3 miles around the park after work.,store_log
Had tuna salad with mixed greens and balsamic dressing for lunch.,store_log
Had a banana and a handful of almonds for snack.,store_log
"I am a 45-year-old male with a height of 200 cm and a weight of 59 kg. My primary goal is weight loss, and I aim to reach a target weight of 54 kg. I am a intermediate at the gym. ",user_profile
Did a 20-minute hiit workout late evening.,store_log
"I am a 41-year-old female with a height of 166 cm and a weight of 50 kg. My primary goal is health maintenance, and I aim to reach a target weight of 72 kg. I am a beginner at the gym. ",user_profile
"I am a 38-year-old male with a height of 186 cm and a weight of 97 kg. My primary goal is endurance, and I aim to reach a target weight of 72 kg. I am a advanced at the gym. ",user_profile
"I am a 25-year-old male with a height of 179 cm and a weight of 51 kg. My primary goal is health maintenance, and I aim to reach a target weight of 54 kg. I am a intermediate at the gym. ",user_profile
"I am a 42-year-old female with a height of 187 cm and a weight of 95 kg. My primary goal is muscle gain, and I aim to reach a target weight of 100 kg. I am a intermediate at the gym. ",user_profile
"I am a 22-year-old female with a height of 193 cm and a weight of 89 kg. My primary goal is weight loss, and I aim to reach a target weight of 84 kg. I am a intermediate at the gym. ",user_profile
"I am a 58-year-old female with a height of 164 cm and a weight of 97 kg. My primary goal is muscle gain, and I aim to reach a target weight of 102 kg. I am a advanced at the gym. ",user_profile
"I am a 33-year-old female with a height of 180 cm and a weight of 80 kg. My primary goal is health maintenance, and I aim to reach a target weight of 56 kg. I am a beginner at the gym. ",user_profile
Had a protein bar and some water for snack.,store_log
Did a 45-minute strength training session around noon.,store_log
What are some effective strategies for incorporating regular exercise into my daily routine?,ask_advice
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
"I am a 58-year-old male with a height of 192 cm and a weight of 68 kg. My primary goal is endurance, and I aim to reach a target weight of 55 kg. I am a beginner at the gym. ",user_profile
Took a 30-minute yoga class before breakfast.,store_log
How can I promote a healthy and vibrant immune system through lifestyle choices and practices?,ask_advice
"I am a 36-year-old male with a height of 158 cm and a weight of 98 kg. My primary goal is muscle gain, and I aim to reach a target weight of 103 kg. I am a beginner at the gym. ",user_profile
Ran 3 miles around the park in the afternoon.,store_log
"I am a 51-year-old female with a height of 175 cm and a weight of 97 kg. My primary goal is weight loss, and I aim to reach a target weight of 92 kg. I am a intermediate at the gym. ",user_profile
Had scrambled eggs with toast and black coffee for breakfast.,store_log
Had stuffed bell peppers with a side of quinoa for dinner.,store_log
"I am a 48-year-old female with a height of 156 cm and a weight of 50 kg. My primary goal is muscle gain, and I aim to reach a target weight of 55 kg. I am a intermediate at the gym. ",user_profile
"I am a 52-year-old female with a height of 196 cm and a weight of 73 kg. My primary goal is weight loss, and I aim to reach a target weight of 68 kg. I am a intermediate at the gym. ",user_profile
"I am a 51-year-old male with a height of 162 cm and a weight of 95 kg. My primary goal is muscle gain, and I aim to reach a target weight of 100 kg. I am a advanced at the gym. ",user_profile
Are there any specific dietary guidelines or lifestyle modifications I should consider based on my individual health condition or medical history?,ask_advice
"I am a 56-year-old male with a height of 155 cm and a weight of 94 kg. My primary goal is endurance, and I aim to reach a target weight of 47 kg. I am a beginner at the gym. ",user_profile
Had chili with cornbread and a small salad for dinner.,store_log
Did a 45-minute strength training session late evening.,store_log
Had salmon with roasted sweet potatoes and green beans for dinner.,store_log
"I am a 52-year-old female with a height of 191 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 57 kg. I am a intermediate at the gym. ",user_profile
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
"I am a 30-year-old female with a height of 153 cm and a weight of 91 kg. My primary goal is endurance, and I aim to reach a target weight of 58 kg. I am a beginner at the gym. ",user_profile
I'm interested in intermittent fasting. Is it effective for weight loss?,ask_advice
"I am a 21-year-old female with a height of 187 cm and a weight of 90 kg. My primary goal is endurance, and I aim to reach a target weight of 82 kg. I am a advanced at the gym. ",user_profile
"I am a 20-year-old female with a height of 199 cm and a weight of 76 kg. My primary goal is endurance, and I aim to reach a target weight of 69 kg. I am a intermediate at the gym. ",user_profile
Cycled 12 miles after work in the afternoon.,store_log
What are some practical tips for maintaining healthy hair and skin?,ask_advice
"I am a 42-year-old female with a height of 187 cm and a weight of 95 kg. My primary goal is muscle gain, and I aim to reach a target weight of 100 kg. I am a intermediate at the gym. ",user_profile
"I am a 41-year-old female with a height of 200 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a advanced at the gym. ",user_profile
"I am a 45-year-old male with a height of 198 cm and a weight of 60 kg. My primary goal is muscle gain, and I aim to reach a target weight of 65 kg. I am a intermediate at the gym. ",user_profile
"What are some effective ways to manage and reduce the impact of environmental stressors, such as pollution or noise?",ask_advice
"I am a 49-year-old male with a height of 196 cm and a weight of 52 kg. My primary goal is muscle gain, and I aim to reach a target weight of 57 kg. I am a beginner at the gym. ",user_profile
Had a protein shake with almond milk and banana for breakfast.,store_log
"I am a 39-year-old female with a height of 166 cm and a weight of 81 kg. My primary goal is endurance, and I aim to reach a target weight of 90 kg. I am a beginner at the gym. ",user_profile
Did a 20-minute hiit workout after work.,store_log
Had pancakes with maple syrup and berries for breakfast.,store_log
Had baked tofu with brown rice and stir-fried vegetables for dinner.,store_log
What are some effective ways to manage and reduce the impact of environmental allergens on my health?,ask_advice
Took a 30-minute yoga class after work.,store_log
Did a 20-minute hiit workout around noon.,store_log
Had scrambled eggs with toast and black coffee for breakfast.,store_log
Tried a new 30-minute core workout in the afternoon.,store_log
"I am a 53-year-old male with a height of 164 cm and a weight of 89 kg. My primary goal is weight loss, and I aim to reach a target weight of 84 kg. I am a advanced at the gym. ",user_profile
Did a 45-minute strength training session around noon.,store_log
"I am a 49-year-old male with a height of 168 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 56 kg. I am a advanced at the gym. ",user_profile
"I am a 58-year-old male with a height of 164 cm and a weight of 88 kg. My primary goal is health maintenance, and I aim to reach a target weight of 92 kg. I am a intermediate at the gym. ",user_profile
"I am a 41-year-old female with a height of 157 cm and a weight of 83 kg. My primary goal is health maintenance, and I aim to reach a target weight of 87 kg. I am a intermediate at the gym. ",user_profile
Did a 45-minute strength training session before dinner.,store_log
Had carrot sticks with hummus for snack.,store_log
How can I incorporate mindfulness and relaxation techniques into my daily routine to reduce stress and promote mental well-being?,ask_advice
"I am a 54-year-old male with a height of 166 cm and a weight of 86 kg. My primary goal is health maintenance, and I aim to reach a target weight of 91 kg. I am a beginner at the gym. ",user_profile
How can I find the right balance between cardio and strength training?,ask_advice
"I am a 53-year-old female with a height of 200 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a intermediate at the gym. ",user_profile
Had apple slices with peanut butter for snack.,store_log
Had tuna salad with mixed greens and balsamic dressing for lunch.,store_log
Did a bodyweight circuit at home before breakfast.,store_log
Had avocado toast with a poached egg for breakfast.,store_log
"I am a 44-year-old male with a height of 162 cm and a weight of 54 kg. My primary goal is health maintenance, and I aim to reach a target weight of 69 kg. I am a intermediate at the gym. ",user_profile
"I am a 33-year-old female with a height of 185 cm and a weight of 91 kg. My primary goal is weight loss, and I aim to reach a target weight of 86 kg. I am a beginner at the gym. ",user_profile
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
"I am a 48-year-old female with a height of 156 cm and a weight of 50 kg. My primary goal is muscle gain, and I aim to reach a target weight of 55 kg. I am a intermediate at the gym. ",user_profile
"I am a 44-year-old male with a height of 162 cm and a weight of 54 kg. My primary goal is health maintenance, and I aim to reach a target weight of 69 kg. I am a intermediate at the gym. ",user_profile
Had mixed nuts and dried cranberries for snack.,store_log
Had overnight oats with blueberries and chia seeds for breakfast.,store_log
Had spaghetti with marinara sauce and a side salad for dinner.,store_log
"I am a 42-year-old female with a height of 155 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a beginner at the gym. ",user_profile
Had grilled steak with mashed potatoes and steamed carrots for dinner.,store_log
Took a 30-minute yoga class right after waking up.,store_log
How can I develop a consistent exercise routine and stay motivated to achieve my fitness goals?,ask_advice
"I am a 57-year-old male with a height of 169 cm and a weight of 84 kg. My primary goal is weight loss, and I aim to reach a target weight of 79 kg. I am a advanced at the gym. ",user_profile
Had overnight oats with blueberries and chia seeds for breakfast.,store_log
"I am a 27-year-old female with a height of 161 cm and a weight of 65 kg. My primary goal is endurance, and I aim to reach a target weight of 52 kg. I am a advanced at the gym. ",user_profile
Had lentil soup with a whole wheat roll for lunch.,store_log
"I am a 33-year-old female with a height of 180 cm and a weight of 80 kg. My primary goal is health maintenance, and I aim to reach a target weight of 56 kg. I am a beginner at the gym. ",user_profile
"I am a 52-year-old female with a height of 191 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 57 kg. I am a intermediate at the gym. ",user_profile
Had a chicken wrap and a side of fruit for lunch.,store_log
"I am a 43-year-old male with a height of 190 cm and a weight of 100 kg. My primary goal is weight loss, and I aim to reach a target weight of 95 kg. I am a intermediate at the gym. ",user_profile
"I am a 40-year-old male with a height of 163 cm and a weight of 52 kg. My primary goal is muscle gain, and I aim to reach a target weight of 57 kg. I am a intermediate at the gym. ",user_profile
Did a bodyweight circuit at home after work.,store_log
Had salmon with roasted sweet potatoes and green beans for dinner.,store_log
"I am a 45-year-old male with a height of 200 cm and a weight of 59 kg. My primary goal is weight loss, and I aim to reach a target weight of 54 kg. I am a intermediate at the gym. ",user_profile
Had a protein bar and some water for snack.,store_log
"I am a 20-year-old male with a height of 195 cm and a weight of 96 kg. My primary goal is weight loss, and I aim to reach a target weight of 91 kg. I am a intermediate at the gym. ",user_profile
Ran 3 miles around the park before dinner.,store_log
"I am a 57-year-old male with a height of 169 cm and a weight of 84 kg. My primary goal is weight loss, and I aim to reach a target weight of 79 kg. I am a advanced at the gym. ",user_profile
"I am a 21-year-old female with a height of 188 cm and a weight of 89 kg. My primary goal is health maintenance, and I aim to reach a target weight of 69 kg. I am a advanced at the gym. ",user_profile
Had salmon with roasted sweet potatoes and green beans for dinner.,store_log
Had a boiled egg and a piece of dark chocolate for snack.,store_log
"I am a 41-year-old male with a height of 151 cm and a weight of 70 kg. My primary goal is endurance, and I aim to reach a target weight of 71 kg. I am a advanced at the gym. ",user_profile
"I am a 37-year-old male with a height of 170 cm and a weight of 88 kg. My primary goal is health maintenance, and I aim to reach a target weight of 58 kg. I am a intermediate at the gym. ",user_profile
"I am a 55-year-old female with a height of 159 cm and a weight of 51 kg. My primary goal is endurance, and I aim to reach a target weight of 85 kg. I am a intermediate at the gym. ",user_profile
"I am a 54-year-old male with a height of 189 cm and a weight of 63 kg. My primary goal is health maintenance, and I aim to reach a target weight of 93 kg. I am a intermediate at the gym. ",user_profile
Did a 45-minute strength training session late evening.,store_log
"I am a 51-year-old female with a height of 175 cm and a weight of 97 kg. My primary goal is weight loss, and I aim to reach a target weight of 92 kg. I am a intermediate at the gym. ",user_profile
Had a turkey sandwich with apple slices for lunch.,store_log
"What are some effective strategies for managing and reducing stress-related symptoms, such as anxiety or insomnia?",ask_advice
Had a boiled egg and a piece of dark chocolate for snack.,store_log
"I am a 45-year-old male with a height of 198 cm and a weight of 60 kg. My primary goal is muscle gain, and I aim to reach a target weight of 65 kg. I am a intermediate at the gym. ",user_profile
"I am a 45-year-old male with a height of 171 cm and a weight of 74 kg. My primary goal is muscle gain, and I aim to reach a target weight of 79 kg. I am a beginner at the gym. ",user_profile
Had spaghetti with marinara sauce and a side salad for dinner.,store_log
"I am a 28-year-old male with a height of 188 cm and a weight of 64 kg. My primary goal is health maintenance, and I aim to reach a target weight of 74 kg. I am a advanced at the gym. ",user_profile
"I am a 49-year-old female with a height of 196 cm and a weight of 72 kg. My primary goal is health maintenance, and I aim to reach a target weight of 55 kg. I am a advanced at the gym. ",user_profile
"I am a 45-year-old male with a height of 171 cm and a weight of 74 kg. My primary goal is muscle gain, and I aim to reach a target weight of 79 kg. I am a beginner at the gym. ",user_profile
"I am a 48-year-old female with a height of 156 cm and a weight of 50 kg. My primary goal is muscle gain, and I aim to reach a target weight of 55 kg. I am a intermediate at the gym. ",user_profile
"What are some strategies for managing and reducing the risk of chronic diseases, such as diabetes or hypertension?",ask_advice
Walked the dog for 40 minutes right after waking up.,store_log
"I am a 36-year-old male with a height of 192 cm and a weight of 67 kg. My primary goal is muscle gain, and I aim to reach a target weight of 72 kg. I am a intermediate at the gym. ",user_profile
"I am a 44-year-old female with a height of 194 cm and a weight of 55 kg. My primary goal is weight loss, and I aim to reach a target weight of 50 kg. I am a advanced at the gym. ",user_profile
Had a boiled egg and a piece of dark chocolate for snack.,store_log
Had greek yogurt with honey and granola for breakfast.,store_log
Had greek yogurt with honey and granola for breakfast.,store_log
Had greek yogurt with honey and granola for breakfast.,store_log
Had apple slices with peanut butter for snack.,store_log
"I am a 33-year-old female with a height of 193 cm and a weight of 66 kg. My primary goal is muscle gain, and I aim to reach a target weight of 71 kg. I am a advanced at the gym. ",user_profile
Had a turkey sandwich with apple slices for lunch.,store_log
Did a 20-minute hiit workout late evening.,store_log
Walked the dog for 40 minutes around noon.,store_log
Had grilled chicken with quinoa and steamed broccoli for lunch.,store_log
Had salmon with roasted sweet potatoes and green beans for dinner.,store_log
Cycled 12 miles after work late evening.,store_log
Had a boiled egg and a piece of dark chocolate for snack.,store_log
"I am a 21-year-old female with a height of 187 cm and a weight of 90 kg. My primary goal is endurance, and I aim to reach a target weight of 82 kg. I am a advanced at the gym. ",user_profile
"I am a 34-year-old male with a height of 169 cm and a weight of 85 kg. My primary goal is endurance, and I aim to reach a target weight of 92 kg. I am a intermediate at the gym. ",user_profile
