Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
40,Female,168,75,Moderately Active,Maintenance,Vegetarian,2200,100,300,70,Wholegrain toast with avocado,Lentil soup with wholegrain bread,Vegetable stir-fry with tofu,Fruit salad with yogurt
22,Male,190,100,Lightly Active,Muscle Gain,Omnivore,2800,160,350,90,Eggs with wholegrain toast,Chicken breast with brown rice,Steak with roasted vegetables,Protein bar
58,Female,155,68,Sedentary,Weight Loss,Vegan,1600,80,180,40,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Vegan chili,Fruit and nut mix
24,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,100,250,50,Greek yogurt with berries and granola,Salmon salad with mixed greens and avocado,Chicken stir-fry with brown rice,Apple with peanut butter
38,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1600,80,200,40,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit
62,Male,175,95,Moderately Active,Weight Loss,Omnivore,2200,120,280,60,Eggs with whole wheat toast and avocado,Turkey sandwich on whole wheat bread with vegetables,Chicken and vegetable stir-fry with brown rice,Greek yogurt with fruit and granola
28,Female,170,65,Very Active,Muscle Gain,Vegan,2400,140,320,70,Tofu scramble with vegetables and avocado,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
45,Male,185,100,Lightly Active,Weight Loss,Omnivore,2000,110,250,50,Greek yogurt with fruit and granola,Tuna salad with whole wheat bread,Chicken breast with sweet potato and green beans,Mixed nuts and seeds
68,Female,155,60,Sedentary,Maintenance,Vegan,1400,70,180,35,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegan pasta with vegetables and tomato sauce,Apple with peanut butter
32,Male,190,90,Very Active,Muscle Gain,Omnivore,3000,180,400,90,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake
58,Male,170,85,Moderately Active,Weight Loss,Vegetarian,1900,100,240,50,Eggs with whole wheat toast and avocado,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit
22,Female,160,50,Lightly Active,Weight Loss,Vegan,1500,80,200,40,Tofu scramble with vegetables,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple slices with peanut butter
38,Male,180,85,Moderately Active,Muscle Gain,Vegetarian,2800,150,250,80,Tofu scramble with spinach and avocado,Quinoa salad with chickpeas and vegetables,Black bean burgers with sweet potato fries,Mixed nuts and seeds
55,Female,160,65,Sedentary,Maintenance,Vegan,1600,65,180,50,Overnight oats with fruit and chia seeds,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice noodles,Fruit smoothie
42,Male,190,95,Very Active,Muscle Gain,Omnivore,3200,200,300,100,Scrambled eggs with whole wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein shake
62,Female,155,58,Sedentary,Weight Loss,Vegan,1400,55,150,40,Oatmeal with berries and plant-based milk,Lentil soup with whole wheat bread,Vegetable stir-fry with tofu and brown rice,Apple slices with almond butter
28,Male,175,70,Moderately Active,Muscle Gain,Omnivore,2500,130,220,70,Greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken breast with brown rice and vegetables,Trail mix
31,Female,170,75,Lightly Active,Weight Loss,Vegetarian,1700,70,190,50,Scrambled eggs with whole wheat toast and avocado,Vegetarian chili with whole wheat bread,Black bean burgers with salad,Apple slices with almond butter
58,Male,185,90,Moderately Active,Maintenance,Omnivore,2400,100,240,70,Oatmeal with fruit and nuts,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Fruit and cheese
22,Female,168,55,Very Active,Muscle Gain,Vegan,2200,110,200,60,Overnight oats with fruit and chia seeds,Tofu scramble with spinach and avocado,Lentil and vegetable curry with brown rice,Protein shake
45,Male,182,80,Lightly Active,Weight Loss,Omnivore,2000,90,220,60,Greek yogurt with fruit and granola,Chicken breast salad with vegetables,Turkey chili with brown rice,Fruit and yogurt
Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein (g),Carbohydrates (g),Fat (g),Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,100,200,60,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and dried fruit
55,Male,175,90,Sedentary,Maintenance,Vegan,2000,80,250,50,Tofu and vegetable breakfast burrito,Black bean burger on a whole-wheat bun,Lentil pasta with marinara sauce,Fruit salad with nuts
68,Female,160,75,Lightly Active,Weight Loss,Omnivore,1800,80,180,50,Greek yogurt with granola,Chicken breast salad with mixed greens,Turkey meatballs with steamed vegetables,Popcorn
28,Male,185,95,Very Active,Muscle Gain,Omnivore,3000,160,350,80,Scrambled eggs with avocado and whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato fries,Protein shake with banana
38,Female,170,70,Moderately Active,Weight Loss,Vegan,1800,80,200,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Fruit salad with nuts
62,Male,170,85,Sedentary,Maintenance,Omnivore,2200,80,270,60,Pancakes with fruit and syrup,Grilled chicken sandwich with whole-wheat bread,Chicken stir-fry with brown rice,Popcorn
45,Female,168,60,Very Active,Muscle Gain,Vegetarian,2400,120,280,70,Tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Chickpea curry with brown rice,Energy bar with nuts and seeds
22,Female,172,55,Moderately Active,Weight Loss,Vegan,1800,80,200,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil stew with whole-wheat bread,Trail mix with nuts and dried fruit
58,Male,178,98,Sedentary,Maintenance,Omnivore,2000,80,250,50,Scrambled eggs with whole-wheat toast,Tuna salad sandwich with whole-wheat bread,Chicken breast with roasted vegetables,Fruit salad with nuts
25,Male,180,85,Lightly Active,Weight Loss,Omnivore,2000,120,250,65,Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter
32,Female,165,60,Moderately Active,Muscle Gain,Vegetarian,2200,100,300,70,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Trail mix with nuts and dried fruit
48,Male,175,95,Very Active,Maintenance,Omnivore,2800,150,350,90,Oatmeal with fruit and nuts,Chicken and vegetable stir-fry,Beef stew with brown rice,Protein bar
55,Female,160,70,Sedentary,Weight Loss,Vegan,1600,80,200,50,Tofu scramble with spinach and avocado toast,Lentil soup with whole-wheat bread,Vegan chili with brown rice,Fruit salad with nuts
28,Male,185,90,Moderately Active,Muscle Gain,Vegan,2600,130,350,80,Tofu and veggie breakfast burrito,Lentil and quinoa salad,Vegan pasta with marinara sauce,Smoothie with protein powder and fruit
62,Female,155,65,Lightly Active,Weight Loss,Omnivore,1800,90,220,60,Eggs with whole-wheat toast,Chicken salad sandwich with mixed greens,Fish with roasted vegetables,Greek yogurt with fruit
35,Female,170,75,Very Active,Muscle Gain,Vegetarian,2400,110,320,75,Quinoa porridge with fruit and nuts,Chickpea and vegetable curry,Black bean burgers on whole-wheat buns,Trail mix with nuts and seeds
22,Male,190,80,Moderately Active,Weight Loss,Vegan,2100,100,270,65,Tofu scramble with vegetables and whole-wheat toast,Black bean burgers with sweet potato fries,Vegan stir-fry with brown rice,Fruit salad with nuts
58,Male,178,100,Sedentary,Maintenance,Omnivore,2400,120,300,75,Scrambled eggs with bacon and whole-wheat toast,Chicken Caesar salad,Grilled salmon with roasted vegetables,Mixed nuts
40,Female,168,72,Lightly Active,Muscle Gain,Vegetarian,2000,90,250,65,Greek yogurt with fruit and granola,Chickpea salad sandwich with whole-wheat bread,Lentil stew with brown rice,Smoothie with protein powder and fruit
25,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Greek yogurt with nuts and seeds
32,Female,165,60,Lightly Active,Weight Loss,Vegetarian,1800,100,220,50,Tofu scramble with vegetables and whole-wheat toast,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter
55,Male,175,90,Sedentary,Maintenance,Omnivore,2200,120,250,60,Eggs with whole-wheat toast and avocado,Grilled chicken salad with mixed greens,Tuna with quinoa and roasted vegetables,Trail mix with almonds and dried fruit
28,Female,170,65,Very Active,Muscle Gain,Vegan,2400,140,300,70,Tofu scramble with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Lentil stew with brown rice,Banana with almond butter
62,Female,160,70,Lightly Active,Weight Loss,Omnivore,1600,80,180,40,Greek yogurt with berries and granola,Grilled salmon with roasted vegetables,Chicken breast with steamed vegetables,Fruit salad with nuts and seeds
21,Male,190,95,Moderately Active,Muscle Gain,Omnivore,3000,180,400,90,Pancakes with fruit and syrup,Chicken stir-fry with brown rice,Steak with baked potato and green beans,Protein shake with fruit
35,Female,168,55,Sedentary,Weight Loss,Vegetarian,1500,80,160,40,Greek yogurt with berries and granola,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter
68,Female,155,65,Lightly Active,Maintenance,Vegetarian,1700,80,190,50,Scrambled eggs with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Vegetarian lasagna with salad,Fruit salad with nuts and seeds
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,180,300,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with quinoa and steamed vegetables,Steak with baked potato and broccoli,Protein shake with banana
48,Female,170,75,Sedentary,Maintenance,Vegetarian,2000,80,220,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts
55,Male,175,90,Moderately Active,Muscle Gain,Vegan,2500,160,280,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter
62,Female,160,65,Lightly Active,Weight Loss,Vegan,1600,80,180,50,Overnight oats with fruit and nuts,Vegetable stir-fry with brown rice,Lentil and vegetable stew,Apple slices with peanut butter
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3200,200,350,90,Oatmeal with protein powder and fruit,Chicken breast with brown rice and steamed vegetables,Beef stir-fry with brown rice,Protein bar
35,Female,168,55,Sedentary,Weight Loss,Vegetarian,1500,70,170,50,Greek yogurt with fruit and granola,Black bean burger with whole-wheat bun and salad,Lentil soup with whole-wheat bread,Trail mix with dried fruit and nuts
42,Male,185,95,Moderately Active,Maintenance,Vegan,2400,150,260,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter
21,Female,172,58,Lightly Active,Weight Loss,Omnivore,1700,90,190,60,Eggs with whole-wheat toast and avocado,Chicken salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
58,Male,178,80,Sedentary,Maintenance,Vegetarian,2100,70,230,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,Greek yogurt with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nuts
38,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,220,60,Oatmeal with fruit and nuts,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Vegetable sticks with hummus
62,Male,175,90,Lightly Active,Muscle Gain,Omnivore,2500,180,300,80,Scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Beef stew with whole grain bread,Protein shake
45,Female,170,75,Very Active,Weight Loss,Vegan,2200,100,280,60,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix
58,Male,178,85,Sedentary,Maintenance,Omnivore,2200,100,270,70,Yogurt with fruit and granola,Turkey sandwich on whole grain bread,Chicken breast with roasted vegetables,Trail mix
22,Female,160,55,Moderately Active,Muscle Gain,Vegetarian,2000,100,250,60,Oatmeal with protein powder and fruit,Bean burrito with brown rice,Chickpea and vegetable pasta,Greek yogurt with fruit and nuts
68,Male,170,70,Lightly Active,Weight Loss,Omnivore,1800,80,220,60,Scrambled eggs with whole wheat toast and fruit,Tuna salad with whole grain bread,Salmon with steamed vegetables,Mixed nuts
30,Female,168,60,Very Active,Muscle Gain,Vegan,2400,120,300,80,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix
55,Female,165,78,Sedentary,Maintenance,Vegetarian,1900,80,230,60,Yogurt with fruit and granola,Black bean soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix
28,Male,185,100,Moderately Active,Muscle Gain,Omnivore,2800,160,350,100,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Steak with sweet potato and green beans,Protein shake
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and almonds,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter
32,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,180,350,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted sweet potatoes,Protein shake
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1600,80,180,50,Oatmeal with fruit and nuts,Lentil and vegetable curry with brown rice,Black bean burgers on whole-wheat buns,Hummus with vegetables
40,Male,190,95,Very Active,Muscle Gain,Vegan,3200,160,400,90,Tofu scramble with vegetables and whole-wheat toast,Lentil stew with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits
62,Male,175,80,Moderately Active,Maintenance,Omnivore,2400,140,280,70,Eggs with whole-wheat toast and bacon,Chicken breast with roasted vegetables,Steak with mashed potatoes and green beans,Greek yogurt with berries
28,Female,170,55,Sedentary,Weight Loss,Vegan,1500,70,160,40,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
38,Female,168,65,Lightly Active,Maintenance,Vegetarian,2000,90,220,60,Scrambled tofu with whole-wheat toast and avocado,Black bean burgers on whole-wheat buns with salad,Lentil and vegetable soup with whole-wheat bread,Trail mix with nuts and dried fruits
58,Male,178,85,Moderately Active,Muscle Gain,Vegan,2800,150,350,80,Tofu scramble with vegetables and whole-wheat toast,Lentil and vegetable curry with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits
22,Male,185,90,Very Active,Muscle Gain,Omnivore,3000,170,380,80,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Steak with mashed potatoes and green beans,Protein shake
45,Female,172,75,Sedentary,Weight Loss,Vegan,1700,80,190,50,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
28,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,75,200,50,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit and granola
55,Male,180,90,Moderately Active,Maintenance,Vegetarian,2500,90,300,70,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix
32,Female,170,60,Very Active,Muscle Gain,Vegan,2400,100,350,60,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable stew,Fruit and nut mix
22,Male,190,85,Sedentary,Weight Loss,Omnivore,2000,80,250,55,Scrambled eggs with whole wheat toast,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Low-fat Greek yogurt with berries
62,Female,160,70,Moderately Active,Maintenance,Vegan,1800,70,220,50,Tofu and vegetable scramble with whole wheat toast,Chickpea salad sandwich on whole wheat bread,Lentil and vegetable stew with brown rice,Fruit and nut mix
25,Male,185,95,Lightly Active,Muscle Gain,Omnivore,2800,120,380,80,Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato and green beans,Protein bar
40,Female,175,75,Very Active,Weight Loss,Vegetarian,2000,80,250,55,Tofu scramble with vegetables,Black bean burger with whole wheat bun,Lentil and vegetable stew with brown rice,Fruit and nut mix
38,Male,178,80,Sedentary,Maintenance,Vegan,2200,85,280,65,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable curry with brown rice,Fruit and nut mix
20,Female,168,50,Lightly Active,Muscle Gain,Omnivore,2200,90,300,60,Oatmeal with berries and nuts,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein bar
58,Male,175,85,Moderately Active,Maintenance,Vegetarian,2300,80,300,70,Tofu and vegetable scramble with whole wheat toast,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix
25,Male,175,75,Moderately Active,Weight Loss,Omnivore,2200,150,250,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled salmon with roasted vegetables,Fruit and nuts
38,Female,165,60,Lightly Active,Maintenance,Vegetarian,1800,100,200,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix
55,Male,180,90,Sedentary,Weight Loss,Omnivore,1800,120,200,40,Oatmeal with fruit and nuts,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt
62,Female,160,70,Sedentary,Maintenance,Vegan,1600,80,180,40,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Black bean burgers on whole-wheat buns,Raw vegetables and hummus
28,Female,170,65,Very Active,Muscle Gain,Omnivore,2500,180,300,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake
32,Male,185,85,Moderately Active,Weight Loss,Vegan,2000,140,220,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Fruit and nuts
68,Male,170,80,Lightly Active,Weight Loss,Omnivore,1600,100,180,40,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables and sweet potato,Fruit and yogurt
45,Female,165,65,Very Active,Muscle Gain,Vegetarian,2300,150,280,70,Tofu and vegetable stir-fry with brown rice,Chickpea salad with mixed greens,Lentil stew with whole-wheat bread,Trail mix
72,Female,155,55,Sedentary,Maintenance,Omnivore,1400,70,160,30,Scrambled eggs with whole-wheat toast,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt
21,Male,190,95,Moderately Active,Weight Loss,Omnivore,2400,160,280,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled chicken with roasted vegetables,Fruit and nuts
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Greek Yogurt with berries and granola,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
30,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,100,200,60,Tofu scramble with vegetables and avocado,Lentil soup with whole-wheat bread,Quinoa bowl with roasted chickpeas and vegetables,Trail mix with nuts and dried fruit
55,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,90,180,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Celery sticks with peanut butter
22,Female,170,55,Very Active,Muscle Gain,Vegan,2500,130,300,70,Tofu omelet with spinach,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter
60,Female,155,60,Moderately Active,Maintenance,Vegetarian,1600,70,160,40,Scrambled eggs with whole-wheat toast,Vegetarian chili with whole-wheat bread,Lentil pasta with tomato sauce,Fruit salad
28,Male,190,100,Very Active,Weight Loss,Omnivore,2800,150,350,80,Greek yogurt with protein powder and fruit,Chicken breast with brown rice and vegetables,Turkey chili with sweet potato,Protein bar
35,Female,160,50,Lightly Active,Muscle Gain,Vegan,1800,90,180,50,Tofu scramble with vegetables and avocado,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Trail mix with nuts and dried fruit
48,Male,185,95,Moderately Active,Maintenance,Omnivore,2200,110,220,60,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Grilled salmon with roasted vegetables,Greek yogurt with berries
65,Male,170,75,Sedentary,Weight Loss,Omnivore,1500,70,150,40,Scrambled eggs with whole-wheat toast,Chicken salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Apple with peanut butter
19,Female,168,58,Very Active,Muscle Gain,Vegan,2300,120,280,60,Tofu omelet with spinach,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and avocado,Salmon with roasted vegetables and quinoa,Trail mix with almonds and dried cranberries
38,Female,165,68,Lightly Active,Maintenance,Vegetarian,1800,80,220,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Apple with peanut butter
55,Male,175,95,Sedentary,Weight Loss,Vegan,1900,85,200,45,Tofu scramble with vegetables and whole-wheat toast,Vegan lentil stew with brown rice,Chickpea curry with brown rice,Banana with almond butter
22,Female,160,55,Very Active,Muscle Gain,Omnivore,2500,150,300,75,Scrambled eggs with whole-wheat toast and avocado,Chicken and vegetable stir-fry with brown rice,Chicken breast with sweet potato and broccoli,Protein bar with nuts
62,Female,168,72,Sedentary,Maintenance,Vegan,1700,75,180,40,Tofu breakfast burrito with whole-wheat tortilla,Vegan pasta salad with vegetables,Lentil and vegetable curry with brown rice,Fruit salad with nuts
30,Male,190,100,Moderately Active,Muscle Gain,Omnivore,3000,180,350,90,Protein pancakes with fruit and syrup,Chicken breast with brown rice and vegetables,Steak with baked potato and green beans,Protein shake with fruit
28,Female,170,65,Lightly Active,Weight Loss,Vegetarian,1600,70,180,45,Scrambled tofu with spinach and tomato,Vegetarian chili with brown rice,Quinoa bowl with roasted vegetables and chickpeas,Trail mix with dried fruit and nuts
40,Male,185,90,Very Active,Weight Loss,Omnivore,2500,130,280,70,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread,Chicken breast with brown rice and vegetables,Mixed nuts and seeds
21,Female,168,58,Lightly Active,Maintenance,Vegan,1800,75,200,50,Tofu scramble with vegetables and whole-wheat toast,Vegan lentil stew with brown rice,Black bean burger on whole-wheat bun with avocado,Trail mix with dried fruit and nuts
58,Male,178,88,Sedentary,Weight Loss,Omnivore,1800,80,200,50,Oatmeal with fruit and nuts,Chicken breast with brown rice and vegetables,Salmon with roasted vegetables and quinoa,Fruit salad with yogurt
25,Female,165,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Grilled salmon with roasted vegetables,Apple slices with peanut butter
32,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2500,150,300,70,Scrambled eggs with whole wheat toast and avocado,Chicken breast salad with mixed greens,Steak with sweet potato fries,Protein shake with banana
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1500,80,150,40,Oatmeal with fruit and nuts,Vegetarian chili with brown rice,Tofu stir-fry with vegetables,Carrot sticks with hummus
